station_id,name,lat,lon
010116,"Whites Rd at Hindes Street, stop 75",-27.466314,153.181848
010117,"Whites Rd at Hindes Street, stop 75",-27.466511,153.181784
010119,Albany Creek Rd at Bangalow Street,-27.359460,153.002571
010120,Andrew St near Ronald St Stop 100,-27.445804,153.170164
010121,"Oceana Tce at Lota House, stop 81",-27.463224,153.188246
010122,"Creek Rd at Fursden Road, stop 47",-27.485727,153.098928
010123,"Creek Rd at Carindale Tennis Centre, stop 46",-27.487765,153.100114
010125,"Stanley Rd at Pembroke Street, stop 42",-27.488892,153.092815
010126,"Stanley Rd at Pembroke Street, stop 42",-27.488806,153.093113
010127,Douglas St at Douglas St Central,-27.562761,152.970352
010128,Douglas St at Douglas St Central,-27.563508,152.970407
010129,Douglas St at Douglas St South,-27.565391,152.971001
001013,"Queen Street station, 2c",-27.469899,153.025115
010130,Strathmore St near Caithness St,-27.403857,153.030209
010131,Douglas St at Douglas St South,-27.565368,152.970850
010132,"Crichton St near Park Rd, stop 27",-27.523766,153.018463
010133,"Moggill Rd at Stamford Road, stop 22/23",-27.497417,152.974393
010135,"Tarragindi Rd at Davey Street, stop 40",-27.541276,153.031491
010136,"Stanley Rd at Arrol Street, stop 38",-27.487280,153.082346
010137,Albany Creek Rd at Leitchs Road,-27.346127,152.976062
010138,South Pine Rd at Hylacola,-27.345073,152.962301
010139,"Buzacott St near Buckley St, stop 48a",-27.507704,153.098240
001014,Goggs Rd at Windermere Village Shopping,-27.535238,152.949178
010140,Old Cleveland Rd at Belmont Primary School,-27.502254,153.114637
010141,"Heidelberg St at Heath Street, stop 15",-27.480224,153.046532
010143,"Byron St near Apollo Rd, stop 41",-27.443898,153.063369
010144,"Apollo Rd at Shakespeare Street, stop 39",-27.446394,153.063316
010145,"Heidelberg St at Heath Street, stop 15",-27.480203,153.046649
010146,"Heidelberg St near Mowbray Tce, stop 14",-27.481976,153.046325
010148,Albany Creek Rd at Hawkins,-27.348010,152.978164
010149,Albany Creek Rd at Hawkins,-27.346884,152.977335
001015,"Queen Street station, 2d",-27.469813,153.025228
010150,"Hampden St at Hopetoun Street, stop 30",-27.428782,153.074426
010151,"Gerler Rd at Dorames Street, stop 37/36",-27.419184,153.072921
010152,"Waterworks Rd at Girraween Grove, stop 21/22",-27.448078,152.981618
010153,"Waterworks Rd at Ashgrove, stop 17",-27.445489,152.993111
010154,"Kaloma Rd at Kaloma - Harward, stop 38",-27.436464,152.942708
010155,"Kaloma Rd at Woorama Rd, stop 39",-27.435988,152.940412
010156,"Hilder Rd at Kaloma - Hilder, stop 41",-27.436321,152.935247
010160,"Waterworks Rd at Girraween Grove, stop 21",-27.447500,152.982734
010161,"Koorong St at Devonhill St, stop 37",-27.453547,152.950020
010162,"Musgrave Rd at Red Hill Shops, stop 8",-27.455011,153.007047
010163,"Lutwyche Rd at Old Council Chambers, stop 16",-27.429326,153.032396
010164,"Lutwyche Rd at Maygar Street, stop 17",-27.427683,153.032368
010165,"Carberry St near Thomas St, stop 25C",-27.427037,153.014822
010166,"Days Rd at Yarradale Street, stop 2A",-27.424990,153.008154
010167,Queen Elizabeth Dr at Eatonvale,-27.343729,152.950269
010168,"Grange Rd at Raymont Road, stop 27",-27.420919,153.015186
010174,"Lutwyche Rd at Lutwyche, stop 20",-27.421776,153.033784
010175,Albany Creek Rd at Pinnaroo,-27.353055,152.991885
010177,"Carwoola St at Bardon, stop 22",-27.464557,152.968109
010178,Albany Creek Rd at Pinnaroo,-27.352974,152.991045
010179,"Latrobe Tce at Old Ithaca Fire Station, stop 9",-27.458818,152.999818
010180,"Latrobe Tce at Paddington Central, stop 10",-27.459242,152.998070
010181,"MacGregor Tce at Bardon, stop 15",-27.458126,152.986375
010182,Old Cleveland Rd at Burke Street Stop 25,-27.492161,153.063752
010183,"Zahel St at Williams Field, stop 40",-27.492969,153.100686
010185,"Old Cleveland Rd at Coorparoo, stop 23",-27.494888,153.058817
010186,Queen Elizabeth Dr at Saraband Dr,-27.341392,152.948815
010187,"Jones Rd at Hill Crescent, stop 35/36",-27.496928,153.088418
